Number,Name,Country,Region,Type,Activity Evidence,Last Known Eruption,Latitude,Longitude,Elevation (Meters),Dominant Rock Type,Tectonic Setting
263200,Dieng Volcanic Complex,Indonesia,Indonesia,Complex,Eruption Observed,2009 CE,-7.2,109.92,2565,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
263210,Sundoro,Indonesia,Indonesia,Stratovolcano,Eruption Observed,1971 CE,-7.3,109.992,3136,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
263220,Sumbing,Indonesia,Indonesia,Stratovolcano,Eruption Observed,1730 CE,-7.384,110.07,3371,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
263230,Ungaran,Indonesia,Indonesia,Stratovolcano,Evidence Credible,Unknown,-7.18,110.33,2050,Trachyandesite / Basaltic Trachyandesite,Subduction Zone / Continental Crust (>25 km)
263231,Telomoyo,Indonesia,Indonesia,Stratovolcano,Evidence Credible,Unknown,-7.37,110.4,1894,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
263240,Merbabu,Indonesia,Indonesia,Stratovolcano,Eruption Observed,1797 CE,-7.45,110.43,3145,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
263250,Merapi,Indonesia,Indonesia,Stratovolcano,Eruption Observed,2014 CE,-7.542,110.442,2968,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
263251,Muria,Indonesia,Indonesia,Stratovolcano,Eruption Dated,160 BCE,-6.62,110.88,1625,Trachybasalt / Tephrite Basanite,Subduction Zone / Continental Crust (>25 km)
263260,Lawu,Indonesia,Indonesia,Stratovolcano,Eruption Observed,1885 CE,-7.625,111.192,3265,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
263270,Wilis,Indonesia,Indonesia,Stratovolcano,Evidence Credible,Unknown,-7.808,111.758,2563,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
263280,Kelut,Indonesia,Indonesia,Stratovolcano,Eruption Observed,2014 CE,-7.93,112.308,1731,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
263281,Kawi-Butak,Indonesia,Indonesia,Stratovolcano(es),Evidence Credible,Unknown,-7.92,112.45,2651,No Data,Subduction Zone / Continental Crust (>25 km)
263290,Arjuno-Welirang,Indonesia,Indonesia,Stratovolcano,Eruption Observed,1952 CE,-7.725,112.58,3339,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
263291,Penanggungan,Indonesia,Indonesia,Stratovolcano,Evidence Credible,Unknown,-7.62,112.63,1653,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
263292,Malang Plain,Indonesia,Indonesia,Maar(s),Evidence Credible,Unknown,-8.02,112.68,680,No Data,Subduction Zone / Continental Crust (>25 km)
263300,Semeru,Indonesia,Indonesia,Stratovolcano,Eruption Observed,2016 CE,-8.108,112.92,3676,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
263310,Tengger Caldera,Indonesia,Indonesia,Stratovolcano(es),Eruption Observed,2016 CE,-7.942,112.95,2329,Trachyandesite / Basaltic Trachyandesite,Subduction Zone / Continental Crust (>25 km)
263320,Lamongan,Indonesia,Indonesia,Stratovolcano,Eruption Observed,1898 CE,-7.979,113.342,1651,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
263321,Lurus,Indonesia,Indonesia,Complex,Evidence Uncertain,Unknown,-7.73,113.58,539,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
263330,Iyang-Argapura,Indonesia,Indonesia,Complex,Evidence Credible,Unknown,-7.97,113.57,3088,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
263340,Raung,Indonesia,Indonesia,Stratovolcano,Eruption Observed,2015 CE,-8.119,114.056,3260,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
263350,Ijen,Indonesia,Indonesia,Stratovolcano(es),Eruption Observed,1999 CE,-8.058,114.242,2769,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
263351,Baluran,Indonesia,Indonesia,Stratovolcano,Evidence Uncertain,Unknown,-7.85,114.37,1247,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
263805,"Kamojang, Kawah",Indonesia,Indonesia,Stratovolcano(es),Unrest / Pleistocene,Unknown,-7.125,107.8,1730,,Subduction Zone / Continental Crust (>25 km)
264001,Buyan-Bratan,Indonesia,Indonesia,Caldera,Evidence Credible,Unknown,-8.283,115.133,2244,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
264010,Batur,Indonesia,Indonesia,Caldera,Eruption Observed,2000 CE,-8.242,115.375,1717,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
264020,Agung,Indonesia,Indonesia,Stratovolcano,Eruption Observed,1964 CE,-8.342,115.508,3142,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
264030,Rinjani,Indonesia,Indonesia,Stratovolcano,Eruption Observed,2016 CE,-8.42,116.47,3726,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
264040,Tambora,Indonesia,Indonesia,Stratovolcano,Eruption Observed,1967 CE,-8.25,118,2850,Trachybasalt / Tephrite Basanite,Subduction Zone / Continental Crust (>25 km)
264050,Sangeang Api,Indonesia,Indonesia,Complex,Eruption Observed,2015 CE,-8.2,119.07,1949,Trachybasalt / Tephrite Basanite,Subduction Zone / Continental Crust (>25 km)
264060,"Sano, Wai",Indonesia,Indonesia,Caldera,Evidence Credible,Unknown,-8.72,120.02,903,Dacite,Subduction Zone / Continental Crust (>25 km)
264070,Poco Leok,Indonesia,Indonesia,Stratovolcano,Unrest / Holocene,Unknown,-8.68,120.48,1675,Andesite / Basaltic Andesite,Subduction Zone / Crust Thickness Unknown
264071,Ranakah,Indonesia,Indonesia,Lava dome(s),Eruption Observed,1991 CE,-8.62,120.52,2350,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
264080,Inierie,Indonesia,Indonesia,Stratovolcano,Eruption Dated,8050 BCE,-8.875,120.95,2245,Andesite / Basaltic Andesite,Subduction Zone / Crust Thickness Unknown
264090,Inielika,Indonesia,Indonesia,Complex,Eruption Observed,2001 CE,-8.73,120.98,1559,Andesite / Basaltic Andesite,Subduction Zone / Crust Thickness Unknown
264100,Ebulobo,Indonesia,Indonesia,Stratovolcano,Eruption Observed,1969 CE,-8.82,121.18,2124,Andesite / Basaltic Andesite,Subduction Zone / Crust Thickness Unknown
264110,Iya,Indonesia,Indonesia,Stratovolcano,Eruption Observed,1969 CE,-8.897,121.645,637,Basalt / Picro-Basalt,Subduction Zone / Crust Thickness Unknown
264120,Sukaria Caldera,Indonesia,Indonesia,Caldera,Unrest / Holocene,Unknown,-8.792,121.77,1500,No Data,Subduction Zone / Crust Thickness Unknown
264140,Kelimutu,Indonesia,Indonesia,Complex,Eruption Observed,1968 CE,-8.77,121.82,1639,Andesite / Basaltic Andesite,Subduction Zone / Crust Thickness Unknown
264150,Paluweh,Indonesia,Indonesia,Stratovolcano,Eruption Observed,2014 CE,-8.32,121.708,875,Andesite / Basaltic Andesite,Subduction Zone / Crust Thickness Unknown
264160,Egon,Indonesia,Indonesia,Stratovolcano,Eruption Observed,2008 CE,-8.676,122.455,1661,Andesite / Basaltic Andesite,Subduction Zone / Crust Thickness Unknown
264170,Ilimuda,Indonesia,Indonesia,Stratovolcano,Unrest / Holocene,Unknown,-8.479,122.761,881,Andesite / Basaltic Andesite,Subduction Zone / Crust Thickness Unknown
264180,Lewotobi,Indonesia,Indonesia,Stratovolcano(es),Eruption Observed,2003 CE,-8.542,122.775,1703,Andesite / Basaltic Andesite,Subduction Zone / Crust Thickness Unknown
264200,Leroboleng,Indonesia,Indonesia,Complex,Eruption Observed,2003 CE,-8.365,122.833,1095,Andesite / Basaltic Andesite,Subduction Zone / Crust Thickness Unknown
264220,Iliboleng,Indonesia,Indonesia,Stratovolcano,Eruption Observed,1993 CE,-8.342,123.258,1659,Basalt / Picro-Basalt,Subduction Zone / Crust Thickness Unknown
264230,Lewotolo,Indonesia,Indonesia,Stratovolcano,Eruption Observed,2012 CE,-8.272,123.505,1423,Andesite / Basaltic Andesite,Subduction Zone / Crust Thickness Unknown
264240,Ililabalekan,Indonesia,Indonesia,Stratovolcano,Unrest / Holocene,Unknown,-8.55,123.38,1018,Basalt / Picro-Basalt,Subduction Zone / Crust Thickness Unknown
264250,Iliwerung,Indonesia,Indonesia,Complex,Eruption Observed,2013 CE,-8.53,123.57,1018,Basalt / Picro-Basalt,Subduction Zone / Crust Thickness Unknown
264260,"Tara, Batu",Indonesia,Indonesia,Stratovolcano,Eruption Observed,2015 CE,-7.791,123.585,633,Trachybasalt / Tephrite Basanite,Subduction Zone / Oceanic Crust (< 15 km)
264270,Sirung,Indonesia,Indonesia,Complex,Eruption Observed,2015 CE,-8.508,124.13,862,Andesite / Basaltic Andesite,Subduction Zone / Crust Thickness Unknown
264800,Ilikedeka,Indonesia,Indonesia,Stratovolcano,Unrest / Pleistocene,Unknown,-8.301,122.907,823,,Subduction Zone / Crust Thickness Unknown
265030,Gunungapi Wetar,Indonesia,Indonesia,Stratovolcano,Eruption Observed,1699 CE,-6.642,126.65,282,Andesite / Basaltic Andesite,Subduction Zone / Oceanic Crust (< 15 km)
265040,Wurlali,Indonesia,Indonesia,Stratovolcano,Eruption Observed,1892 CE,-7.125,128.675,868,Andesite / Basaltic Andesite,Subduction Zone / Oceanic Crust (< 15 km)
265050,Teon,Indonesia,Indonesia,Stratovolcano,Eruption Observed,1904 CE,-6.976,129.144,728,Andesite / Basaltic Andesite,Subduction Zone / Oceanic Crust (< 15 km)
265060,Nila,Indonesia,Indonesia,Stratovolcano,Eruption Observed,1968 CE,-6.73,129.5,781,Andesite / Basaltic Andesite,Subduction Zone / Oceanic Crust (< 15 km)
265070,Serua,Indonesia,Indonesia,Stratovolcano,Eruption Observed,1921 CE,-6.312,130.017,608,Andesite / Basaltic Andesite,Subduction Zone / Oceanic Crust (< 15 km)
265080,Manuk,Indonesia,Indonesia,Stratovolcano,Unrest / Holocene,Unknown,-5.543,130.303,257,Andesite / Basaltic Andesite,Subduction Zone / Oceanic Crust (< 15 km)
265090,Banda Api,Indonesia,Indonesia,Caldera,Eruption Observed,1988 CE,-4.523,129.881,596,Dacite,Subduction Zone / Oceanic Crust (< 15 km)
266010,Colo,Indonesia,Indonesia,Stratovolcano,Eruption Observed,1983 CE,-0.162,121.601,404,Trachyandesite / Basaltic Trachyandesite,Subduction Zone / Continental Crust (>25 km)
266020,Ambang,Indonesia,Indonesia,Complex,Eruption Observed,2005 CE,0.75,124.42,1795,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
266030,Soputan,Indonesia,Indonesia,Stratovolcano,Eruption Observed,2016 CE,1.112,124.737,1785,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
266040,Riendengan-Sempu,Indonesia,Indonesia,Caldera,Unrest / Holocene,Unknown,1.13,124.758,1549,No Data,Subduction Zone / Continental Crust (>25 km)
266070,Tondano Caldera,Indonesia,Indonesia,Caldera,Unrest / Holocene,Unknown,1.23,124.83,1202,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
266100,Lokon-Empung,Indonesia,Indonesia,Stratovolcano(es),Eruption Observed,2015 CE,1.358,124.792,1580,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
266110,Mahawu,Indonesia,Indonesia,Stratovolcano,Eruption Observed,1977 CE,1.352,124.865,1299,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
266120,Klabat,Indonesia,Indonesia,Stratovolcano,Unrest / Holocene,Unknown,1.454,125.031,1968,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
266130,Tangkoko-Duasudara,Indonesia,Indonesia,Stratovolcano,Eruption Observed,1880 CE,1.518,125.185,1334,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
267010,Ruang,Indonesia,Indonesia,Stratovolcano,Eruption Observed,2002 CE,2.3,125.37,725,Andesite / Basaltic Andesite,Subduction Zone / Oceanic Crust (< 15 km)
267020,Karangetang,Indonesia,Indonesia,Stratovolcano,Eruption Observed,2016 CE,2.78,125.4,1784,Andesite / Basaltic Andesite,Subduction Zone / Oceanic Crust (< 15 km)
267030,Banua Wuhu,Indonesia,Indonesia,Submarine,Eruption Observed,1919 CE,3.138,125.491,-5,Andesite / Basaltic Andesite,Subduction Zone / Oceanic Crust (< 15 km)
267040,Awu,Indonesia,Indonesia,Stratovolcano,Eruption Observed,2004 CE,3.67,125.5,1320,Andesite / Basaltic Andesite,Subduction Zone / Oceanic Crust (< 15 km)
268001,Tarakan,Indonesia,Indonesia,Pyroclastic cone(s),Evidence Credible,Unknown,1.83,127.83,318,Basalt / Picro-Basalt,Subduction Zone / Oceanic Crust (< 15 km)
268010,Dukono,Indonesia,Indonesia,Complex,Eruption Observed,2016 CE,1.693,127.894,1229,Andesite / Basaltic Andesite,Subduction Zone / Oceanic Crust (< 15 km)
268020,Tobaru,Indonesia,Indonesia,Unknown,Evidence Credible,Unknown,1.63,127.67,1035,Andesite / Basaltic Andesite,Subduction Zone / Oceanic Crust (< 15 km)
268030,Ibu,Indonesia,Indonesia,Stratovolcano,Eruption Observed,2016 CE,1.488,127.63,1325,Andesite / Basaltic Andesite,Subduction Zone / Oceanic Crust (< 15 km)
268040,Gamkonora,Indonesia,Indonesia,Stratovolcano,Eruption Observed,2007 CE,1.38,127.53,1635,Andesite / Basaltic Andesite,Subduction Zone / Oceanic Crust (< 15 km)
268050,Todoko-Ranu,Indonesia,Indonesia,Caldera(s),Evidence Credible,Unknown,1.25,127.47,979,Andesite / Basaltic Andesite,Subduction Zone / Oceanic Crust (< 15 km)
268051,Jailolo,Indonesia,Indonesia,Stratovolcano,Evidence Credible,Unknown,1.08,127.439,993,Andesite / Basaltic Andesite,Subduction Zone / Oceanic Crust (< 15 km)
268052,Hiri,Indonesia,Indonesia,Stratovolcano,Evidence Credible,Unknown,0.9,127.32,630,Basalt / Picro-Basalt,Subduction Zone / Oceanic Crust (< 15 km)
268060,Gamalama,Indonesia,Indonesia,Stratovolcano(es),Eruption Observed,2016 CE,0.8,127.33,1715,Andesite / Basaltic Andesite,Subduction Zone / Oceanic Crust (< 15 km)
268061,Tidore,Indonesia,Indonesia,Stratovolcano,Evidence Credible,Unknown,0.658,127.4,1730,Andesite / Basaltic Andesite,Subduction Zone / Oceanic Crust (< 15 km)
268062,Mare,Indonesia,Indonesia,Stratovolcano,Evidence Credible,Unknown,0.57,127.4,308,Andesite / Basaltic Andesite,Subduction Zone / Oceanic Crust (< 15 km)
268063,Moti,Indonesia,Indonesia,Stratovolcano,Evidence Credible,Unknown,0.45,127.4,950,Andesite / Basaltic Andesite,Subduction Zone / Oceanic Crust (< 15 km)
268070,Makian,Indonesia,Indonesia,Stratovolcano,Eruption Observed,1988 CE,0.32,127.4,1357,Andesite / Basaltic Andesite,Subduction Zone / Oceanic Crust (< 15 km)
268071,Tigalalu,Indonesia,Indonesia,Stratovolcano,Evidence Credible,Unknown,0.07,127.42,422,Andesite / Basaltic Andesite,Subduction Zone / Oceanic Crust (< 15 km)
268072,Amasing,Indonesia,Indonesia,Stratovolcano(es),Evidence Credible,Unknown,-0.53,127.48,1030,Andesite / Basaltic Andesite,Subduction Zone / Oceanic Crust (< 15 km)
268073,Bibinoi,Indonesia,Indonesia,Stratovolcano(es),Evidence Credible,Unknown,-0.77,127.72,900,Andesite / Basaltic Andesite,Subduction Zone / Oceanic Crust (< 15 km)
269010,Bombalai,Malaysia,Indonesia,Pyroclastic cone,Evidence Uncertain,Unknown,4.4,117.88,531,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
270010,Jolo,Philippines,Philippines and SE Asia,Pyroclastic cone(s),Eruption Observed,1897 CE,6.013,121.057,811,Basalt / Picro-Basalt,Subduction Zone / Crust Thickness Unknown
271010,Balut,Philippines,Philippines and SE Asia,Stratovolcano,Unrest / Holocene,Unknown,5.4,125.375,862,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
271011,Parker,Philippines,Philippines and SE Asia,Stratovolcano,Eruption Observed,1641 CE,6.113,124.892,1824,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
271020,Matutum,Philippines,Philippines and SE Asia,Stratovolcano,Eruption Dated,1290 CE,6.37,125.07,2286,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
271030,Apo,Philippines,Philippines and SE Asia,Stratovolcano,Unrest / Holocene,Unknown,6.989,125.269,2938,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
271031,Leonard Range,Philippines,Philippines and SE Asia,Stratovolcano,Eruption Dated,120 CE,7.382,126.047,1080,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
271040,Makaturing,Philippines,Philippines and SE Asia,Stratovolcano,Eruption Observed,1882 CE,7.647,124.32,1940,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
271050,Latukan,Philippines,Philippines and SE Asia,Stratovolcano,Evidence Uncertain,Unknown,7.65,124.45,2338,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
271060,Ragang,Philippines,Philippines and SE Asia,Stratovolcano,Eruption Observed,1873 CE,7.7,124.5,2815,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
271061,Kalatungan,Philippines,Philippines and SE Asia,Stratovolcano,Evidence Uncertain,Unknown,7.95,124.8,2824,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
271070,Musuan,Philippines,Philippines and SE Asia,Lava dome,Eruption Observed,1886 CE,7.877,125.068,646,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
271071,Malindang,Philippines,Philippines and SE Asia,Stratovolcano,Evidence Credible,Unknown,8.22,123.63,2404,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
271072,Balatukan,Philippines,Philippines and SE Asia,Compound,Unrest / Pleistocene,Unknown,8.77,124.98,2450,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
271080,Camiguin,Philippines,Philippines and SE Asia,Stratovolcano(es),Eruption Observed,1953 CE,9.203,124.673,1552,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
271090,Paco-Maniayao,Philippines,Philippines and SE Asia,Stratovolcano,Unrest / Pleistocene,Unknown,9.593,125.52,664,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
272010,Cuernos de Negros,Philippines,Philippines and SE Asia,Complex,Unrest / Holocene,Unknown,9.25,123.17,1862,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
272020,Kanlaon,Philippines,Philippines and SE Asia,Stratovolcano,Eruption Observed,2016 CE,10.412,123.132,2435,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
272030,Mandalagan,Philippines,Philippines and SE Asia,Complex,Unrest / Holocene,Unknown,10.65,123.25,1885,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
272040,Silay,Philippines,Philippines and SE Asia,Stratovolcano,Unrest / Holocene,Unknown,10.77,123.23,1510,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
272050,Cabalían,Philippines,Philippines and SE Asia,Stratovolcano,Eruption Dated,1820 CE,10.285,125.218,912,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
272070,Mahagnao,Philippines,Philippines and SE Asia,Stratovolcano,Unrest / Holocene,Unknown,10.882,124.888,860,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
272080,Biliran,Philippines,Philippines and SE Asia,Compound,Eruption Observed,1939 CE,11.523,124.535,1301,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
273010,Bulusan,Philippines,Philippines and SE Asia,Stratovolcano(es),Eruption Observed,2016 CE,12.77,124.05,1565,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
273020,Pocdol Mountains,Philippines,Philippines and SE Asia,Compound,Unrest / Holocene,Unknown,13.05,123.958,1102,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
273030,Mayon,Philippines,Philippines and SE Asia,Stratovolcano,Eruption Observed,2014 CE,13.257,123.685,2462,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
273031,Masaraga,Philippines,Philippines and SE Asia,Stratovolcano,Evidence Credible,Unknown,13.32,123.6,1328,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
273041,Iriga,Philippines,Philippines and SE Asia,Stratovolcano,Evidence Credible,Unknown,13.457,123.457,1196,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
273042,Isarog,Philippines,Philippines and SE Asia,Stratovolcano,Eruption Dated,3500 BCE,13.658,123.38,1966,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
273044,Malindig,Philippines,Philippines and SE Asia,Stratovolcano,Evidence Credible,Unknown,13.24,122.018,1157,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
273050,Banahaw,Philippines,Philippines and SE Asia,Complex,Evidence Credible,Unknown,14.07,121.48,2158,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
273060,San Pablo Volcanic Field,Philippines,Philippines and SE Asia,Stratovolcano,Eruption Dated,1350 CE,14.12,121.3,1090,Trachyandesite / Basaltic Trachyandesite,Subduction Zone / Continental Crust (>25 km)
273070,Taal,Philippines,Philippines and SE Asia,Caldera,Eruption Observed,1977 CE,14.002,120.993,311,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
273080,Laguna Caldera,Philippines,Philippines and SE Asia,Caldera,Unrest / Holocene,Unknown,14.42,121.27,743,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
273081,Mariveles,Philippines,Philippines and SE Asia,Stratovolcano,Eruption Dated,2050 BCE,14.52,120.47,1388,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
273082,Natib,Philippines,Philippines and SE Asia,Stratovolcano,Evidence Uncertain,Unknown,14.72,120.4,1253,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
273083,Pinatubo,Philippines,Philippines and SE Asia,Stratovolcano,Eruption Observed,1993 CE,15.13,120.35,1486,Dacite,Subduction Zone / Continental Crust (>25 km)
273084,Arayat,Philippines,Philippines and SE Asia,Stratovolcano,Evidence Uncertain,Unknown,15.2,120.742,1026,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
273085,Amorong,Philippines,Philippines and SE Asia,Lava dome(s),Unrest / Holocene,Unknown,15.828,120.805,376,Trachyandesite / Basaltic Trachyandesite,Subduction Zone / Continental Crust (>25 km)
273086,Santo Tomas,Philippines,Philippines and SE Asia,Stratovolcano,Unrest / Pleistocene,Unknown,16.33,120.55,2260,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
273087,Patoc,Philippines,Philippines and SE Asia,Stratovolcano,Unrest / Holocene,Unknown,17.147,120.98,1865,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
273088,Ambalatungan Group,Philippines,Philippines and SE Asia,Compound,Unrest / Holocene,Unknown,17.32,121.1,2329,Dacite,Subduction Zone / Continental Crust (>25 km)
273090,Cagua,Philippines,Philippines and SE Asia,Stratovolcano,Eruption Observed,1860 CE,18.222,122.123,1133,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
273801,Malinao,Philippines,Philippines and SE Asia,Stratovolcano,Unrest / Pleistocene,Unknown,13.416,123.608,1548,,Subduction Zone / Continental Crust (>25 km)
273804,Labo,Philippines,Philippines and SE Asia,Compound,Unrest / Pleistocene,Unknown,14.02,122.792,1544,,Subduction Zone / Continental Crust (>25 km)
273806,Panay,Philippines,Philippines and SE Asia,Stratovolcano,Unrest / Pleistocene,Unknown,13.723,120.893,501,,Subduction Zone / Continental Crust (>25 km)
274010,Camiguin de Babuyanes,Philippines,Philippines and SE Asia,Stratovolcano,Eruption Observed,1857 CE,18.83,121.86,712,Andesite / Basaltic Andesite,Subduction Zone / Crust Thickness Unknown
274020,Didicas,Philippines,Philippines and SE Asia,Compound,Eruption Observed,1978 CE,19.077,122.202,228,Andesite / Basaltic Andesite,Subduction Zone / Crust Thickness Unknown
274030,Babuyan Claro,Philippines,Philippines and SE Asia,Stratovolcano(es),Eruption Observed,1924 CE,19.523,121.94,1080,Andesite / Basaltic Andesite,Subduction Zone / Crust Thickness Unknown
274050,Unnamed,Philippines,Philippines and SE Asia,Submarine,Eruption Observed,1854 CE,20.33,121.75,-24,No Data,Subduction Zone / Crust Thickness Unknown
274060,Iraya,Philippines,Philippines and SE Asia,Stratovolcano,Eruption Observed,1454 CE,20.469,122.01,1009,Andesite / Basaltic Andesite,Subduction Zone / Crust Thickness Unknown
275001,Hainan Dao,China,Philippines and SE Asia,Pyroclastic cone(s),Eruption Observed,1933 CE,19.7,110.1,0,Basalt / Picro-Basalt,Intraplate / Continental Crust (>25 km)
275010,Leizhou Bandao,China,Philippines and SE Asia,Volcanic field,Evidence Credible,Unknown,20.78,110.17,259,Basalt / Picro-Basalt,Intraplate / Continental Crust (>25 km)
275020,Cu-Lao Re Group,Vietnam,Philippines and SE Asia,Volcanic field,Evidence Credible,Unknown,15.38,109.12,181,Basalt / Picro-Basalt,Intraplate / Continental Crust (>25 km)
275030,Toroeng Prong,Vietnam,Philippines and SE Asia,Pyroclastic cone,Evidence Uncertain,Unknown,14.93,108,800,Basalt / Picro-Basalt,Intraplate / Continental Crust (>25 km)
275040,Haut Dong Nai,Vietnam,Philippines and SE Asia,Volcanic field,Evidence Uncertain,Unknown,11.6,108.2,1000,Basalt / Picro-Basalt,Intraplate / Continental Crust (>25 km)
275050,Bas Dong Nai,Vietnam,Philippines and SE Asia,Volcanic field,Evidence Uncertain,Unknown,10.8,107.2,392,Basalt / Picro-Basalt,Intraplate / Continental Crust (>25 km)
275060,"Cendres, Ile des",Vietnam,Philippines and SE Asia,Submarine,Eruption Observed,1923 CE,10.158,109.014,-20,Basalt / Picro-Basalt,Intraplate / Continental Crust (>25 km)
275070,Veteran,Vietnam,Philippines and SE Asia,Submarine,Unrest / Holocene,Unknown,9.83,109.05,0,No Data,Intraplate / Continental Crust (>25 km)
275080,Popa,Burma (Myanmar),Philippines and SE Asia,Stratovolcano,Eruption Dated,442 BCE,20.92,95.25,1518,Basalt / Picro-Basalt,Intraplate / Continental Crust (>25 km)
275090,Lower Chindwin,Burma (Myanmar),Philippines and SE Asia,Volcanic field,Evidence Uncertain,Unknown,22.28,95.1,385,Basalt / Picro-Basalt,Intraplate / Continental Crust (>25 km)
275100,Singu Plateau,Burma (Myanmar),Philippines and SE Asia,Fissure vent(s),Evidence Credible,Unknown,22.7,95.98,507,Trachyandesite / Basaltic Trachyandesite,Intraplate / Continental Crust (>25 km)
275110,Tengchong,China,Philippines and SE Asia,Pyroclastic cone(s),Eruption Dated,5750 BCE,25.23,98.5,2865,Basalt / Picro-Basalt,Intraplate / Continental Crust (>25 km)
281020,Unnamed,Taiwan,"Japan, Taiwan, Marianas",Submarine,Evidence Uncertain,Unknown,21.83,121.18,-115,No Data,Subduction Zone / Continental Crust (>25 km)
281030,Unnamed,Taiwan,"Japan, Taiwan, Marianas",Submarine,Eruption Observed,1853 CE,24,121.83,0,No Data,Subduction Zone / Continental Crust (>25 km)
